NO,曲名,品番,演奏時間,出版社,備考
1,アヴェ・マリア,,,東亜音楽社 / 音楽之友社,＜楽譜なし＞・Conductor
2,アゲハ蝶/ポルノグラフィティ,SK-373,"4'37""",ミュージックエイト/器楽合奏用楽譜,
3,風になりたい / THE BOOM,SK-303,"3'00""",ミュージックエイト/器楽合奏用楽譜,＜楽譜なし＞・フルスコア
4,島唄/THE BOOM,SK-387,,ミュージックエイト/器楽合奏用楽譜,
5,「スパイ大作戦」のテーマ,SK-270,,ミュージックエイト/器楽合奏用楽譜,
6,Love Love Love / ドリームズ・カム・トウルー,SK-253,,ミュージックエイト/器楽合奏用楽譜,
7,アジアの純真/Puffy,QH-583,"3'53""",ミュージックエイト / ヒット&ヒットシリーズ,
8,明日への扉/I WisH,QH-878,"4'30""",ミュージックエイト/ヒットシリーズ,
9,ALIVEA/ SPEED,QH-662,"5'14""",ミュージックエイト/ヒットシリーズ,
10,ありがとう / SMAP,QH-1010,"3'30""",ミュージックエイト/ヒットシリーズ,
11,ALONE/B'z,QH-393,"5'00""",ミュージックエイト/ヒット&ヒットシリーズ,
12,アンパンマンのマーチ,QH-920,"2'30""",ミュージックエイト/ヒットシリーズ,
13,【es】-Theme of es / Mr.children,QH-536,,ミュージックエイト/ヒット&ヒットシリーズ,
14,いつでも何度でも「千と千尋の神隠し」主題歌,QH-799,"3'00""",ミュージックエイト/ヒットシリーズ,
15,恋しさとせつなさと心強さと / 篠原涼子&T.K,QH-508,,ミュージックエイト/ヒット&ヒットシリーズ,"＜楽譜なし＞・Bass Clarinet in B♭・Baritone Saxophone in E♭・Euphonium(B,C）"
16,winter fall/ L'Arc-en-Ciel,QH-647,"3'10""",ミュージックエイト/ヒットシリーズ,＜楽譜なし＞・Euphonium in B♭（T.C）・Euphonium（B.C）
17,宇宙戦艦ヤマト,QM-43,"3'00""",ミュージックエイト/マーチシリーズ,
18,Ultra Music Power / Hey! Say! JUMP,QH-1077,"3'10""",ミュージックエイト/ヒットシリーズ,
19,大きな古時計,QQ-36,"3'50""",ミュージックエイト/少人数吹奏楽,
20,オブラディ・オブラダ,QH-14,"3'40""",ミュージックエイト/ヒットシリーズ,
21,学園天国,QQ-18,"3'00""",ミュージックエイト/少人数吹奏楽,
22,得賞歌/君が代,S.B14,,共同音楽出版社,
23,キセキ / GReeeeN,QH-1105,,ミュージックエイト/ヒットシリーズ,
24,クシコス・ポスト,QM-23,,ミュージックエイト/マーチ&マーチシリーズ,＜楽譜なし＞・Condenced Score・1st Alto Saxophone in E♭・2nd Alto Saxophone in E♭
25,くじら12号 / JUDY AND MARY,QH-606,,ミュージックエイト/ヒットシリーズ,＜楽譜なし＞・3rd Clarinet in B♭・Tenor Saxpohone in B♭・Tuba
26,KNOCKIN ON YOUR DOOR / L+R,QH-533,,ミュージックエイト/ヒットシリーズ,
27,CROSS ROAD / Mr.children,QH-484,,ミュージックエイト/ヒット&ヒットシリーズ,
28,恋のダンスサイト/モーニング娘。,QH-728,,ミュージックエイト/ヒットシリーズ,
29,今夜月の見える丘に/B'z,QH-732,,（なし）,
30,これが私の生きる道 / Puffy,QH-594,,（なし）,
31,さくら / 森山直太郎,QH-884,,（なし）,
32,TSUNAMI / サザンオールスターズ,QH-729,,（なし）,
33,島唄/THE BOOM,QQ-34,,ミュージックエイト/少人数吹奏楽,
34,上海ハニー/ORANGE RANGE,QH-915,,ミュージックエイト/ヒットシリーズ,
35,少年時代/井上陽水,QH-390,,ミュージックエイト/ヒットシリーズ,
36,STAND BY ME (スタンドバイミー),QH-489,,（出版社未記載）,
37,「スパイ大作戦」のテーマ,,,ヤマハミュージック,
38,ズルイ女/ シャ乱Q,QH-540,,ミュージックエイト/ヒット&ヒットシリーズ,
39,青春アミーゴ,QH-975,,ミュージックエイト/ヒットシリーズ,
40,世界が終るまでは･･･ / WANDS,QH-499,,ミュージックエイト/ヒット&ヒットシリーズ,
41,世界にひとつだけの花,,,ミュージックエイト / ヒットシリーズ,
42,宙船(そらふね),QQ-107,,ミュージックエイト / 少人数吹奏楽,
43,タイミング / BLACK BISCUITS,QH-654,,ミュージックエイト / ヒットシリーズ,
44,タッチ 「TVアニメ『タッチ』主題歌」,QQ-54,,ミュージックエイト / 少人数吹奏楽,
45,「大脱走」のマーチ,QM-33,,ミュージックエイト / コンサートシリーズ,
46,Tequila (テキーラ),QC-131,,ミュージックエイト / コンサートシリーズ,
47,剣の舞 ハチャツリアン組曲「ガイーヌ」より,QC-22,,ミュージックエイト / ニューコンサートシリーズ,
48,鉄腕アトム,QM42,,ミュージックエイト / マーチシリーズ,
49,Tomorrow Never Knows / Mr.children,QH-518,,ミュージックエイト / ヒットシリーズ,
50,TRUTH 「F1・グランプリ」テーマ,QH-368,,ミュージックエイト / ヒットシリーズ,
51,ドラゴンクエスト 【パート4】メドレー導かれた者たち,QC-84,,ミュージックエイト / コンサートシリーズ,
52,どんなときも。/槇原敬之,QH-383,,ミュージックエイト / ヒットシリーズ,
53,日本の四季「秋」6曲,QQ-89,,ミュージックエイト / 少人数吹奏楽,
54,1/2 / 川本真琴,QH-613,,ミュージックエイト / ヒットシリーズ,
55,HONEY / L'ArcenCiel,QH-669,,ミュージックエイト / ヒットシリーズ,
56,箱根八里の半次郎 / 氷川きよし,QH-774,,ミュージックエイト / ヒットシリーズ,
